company,id,predictedvalues,title
Gazprom,1479,0,"Centrica extends gas deals with Gazprom, Statoil"
Persimmon,1586,0,"UPDATE: Persimmon Profit Up Strongly, Outlook Positive"
Deutsche Boerse,1355,0,Merkel's Government Said to Support Deutsche Boerse-LSE Merger
Glencore,1617,-1,Investor body in talks with Glencore on $2.5 bln placing - Sky News
BP,1559,0,BP reports biggest ever annual loss
AdeS,1159,0,The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever
Banco BPI,1540,0,Spain's Caixabank launches new takeover bid for Banco BPI
Rio Tinto,1431,0,Rio Tinto CEO says iron ore market at equilibrium
Berkshire Hathaway,1426,-1,Warren Buffett vows never to spin off Berkshire Hathaway subsidiaries
Royal Bank of Scotland Group plc,1354,1,RBS job cuts draw attention to number that are still there
Unilever,1306,-1,Unilever profit rises despite sales slump in China
CRH,1273,0,CRH adds CR Laurence to acquisitions tally for $1.3bn
AstraZeneca,1364,0,UPDATE 2-AstraZeneca's diabetes drug Onglyza may increase death rate -FDA
Barclays,1160,0,Ex-Barclays Trader in Libor Case Says Boss Hit Him With Bat
Aggreko,1550,0,Industry NewsAggreko buys Canada's ICS for £18m
Daiichi Sankyo,1353,0,AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US
Juno,1303,0,"AstraZeneca, Juno latest to collaborate on immuno-oncology drugs"
Glencore,1283,0,Glencore leads Britain's FTSE lower as China concerns weigh
Berkshire Hathaway Inc.,1237,0,Should You Follow Berkshire Hathaway Into Apple Stock?
Barclays,1598,0,Barclays To Pay Ousted Boss £500000 Bonus
Standard Chartered PLC,1486,0,New management bring rights issue risk at Standard Chartered�?
Tesco PLC,1589,0,Tesco share price tumbles after negative broker note
AB InBev,1197,-1,UPDATE 3-SABMiller rejects 'informal' offer from AB InBev as too low - Bloomberg
Barclays,1160,0,Ex-Barclays Trader in Libor Case Says Boss Hit Him With Bat
Barclays,1573,0,Barclays drags FTSE into red as compensation mounts
Banco BPI,1540,0,Spain's Caixabank launches new takeover bid for Banco BPI
ZS Pharma,1427,0,AstraZeneca to Buy ZS Pharma for $2.7 Billion
Berkshire Hathaway Inc.,1305,-1,Warren Buffett defends Berkshire Hathaway's conglomerate structure
Royal Bank of Scotland Group plc,1335,0,RBS turns away savers in latest glitch
Glencore,1184,0,Billionaire Chief Faces $210 Million Bill as Glencore Seeks Cash
AstraZeneca,1358,0,AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US
Tesco PLC,1590,-1,MBK Partners closes in on $6bn Tesco Korea deal
Barclays,1451,0,Barclays sees Fed rate hike in early 2016
AstraZeneca,1466,-1,"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion"
EasyJet,1194,0,easyJet expects resilient demand to withstand security fears
CaixaBank,1204,0,"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure"
Royal Bank of Scotland Group plc,1292,0,CompaniesHoward Davies appointment as RBS director delayed
Amazon,1349,0,Amazon's grocery deal with Morrisons is only the beginning
Dixons Carphone,1500,0,CompaniesDixons Carphone to close 134 UK stores as sales jump
Acerta,1223,0,Royal Mail Fined £40m After French Probe
GlaxoSmithKline,1147,0,GlaxoSmithKline acquires HIV assets
Blinkbox,1548,0,Tesco sells Blinkbox and broadband service to TalkTalk
Tesco PLC,1533,0,Tesco shareholders back ITV head for chairman
Old Mutual,1166,0,Old Mutual nears deal to sell US business
Rio Tinto,1275,0,"Miners help FTSE recover, Rio Tinto leads higher"
